Movie Title,Movie Rating,Number of Votes M,Release Date,Duration (Minutes),Category
. Ladri di biciclette,8.3,0.172M,1948,89,Not Rated
. Taxi Driver,8.2,0.897M,1976,114,R
. 1917,8.2,0.652M,2019,119,R
. Der Untergang,8.2,0.37M,2004,156,R
. Dangal,8.3,0.204M,2016,161,Not Rated
. Per qualche dollaro in più,8.2,0.269M,1965,132,R
. Batman Begins,8.2,1.5M,2005,140,PG-13
. Top Gun: Maverick,8.3,0.645M,2022,130,PG-13
. Some Like It Hot,8.2,0.279M,1959,121,Passed
. The Kid,8.2,0.133M,1921,68,Passed
. The Wolf of Wall Street,8.2,1.5M,2013,180,R
. The Father,8.2,0.182M,2020,97,PG-13
. Green Book,8.2,0.544M,2018,130,PG-13
. All About Eve,8.2,0.137M,1950,138,Passed
. Judgment at Nuremberg,8.3,0.083M,1961,179,Approved
. The Truman Show,8.2,1.2M,1998,103,PG
. There Will Be Blood,8.2,0.627M,2007,158,R
. Casino,8.2,0.552M,1995,178,R
. Shutter Island,8.2,1.4M,2010,138,R
. Ran,8.2,0.133M,1985,160,R
. El laberinto del fauno,8.2,0.694M,2006,118,R
. Jurassic Park,8.2,1M,1993,127,PG-13
. The Sixth Sense,8.2,1M,1999,107,PG-13
. Unforgiven,8.2,0.43M,1992,130,R
. A Beautiful Mind,8.2,0.971M,2001,135,PG-13
. No Country for Old Men,8.2,1M,2007,122,R
. The Treasure of the Sierra Madre,8.2,0.131M,1948,126,Passed
. Yôjinbô,8.2,0.129M,1961,110,Not Rated
. Kill Bill: Vol. 1,8.2,1.2M,2003,111,R
. The Thing,8.2,0.455M,1982,109,R
. Monty Python and the Holy Grail,8.2,0.562M,1975,91,PG
. The Great Escape,8.2,0.255M,1963,172,Approved
. Finding Nemo,8.2,1.1M,2003,100,G
. Rashômon,8.2,0.177M,1950,88,Not Rated
. The Elephant Man,8.2,0.254M,1980,124,PG
. Chinatown,8.2,0.343M,1974,130,R
. Hauru no ugoku shiro,8.2,0.431M,2004,119,PG
. Dial M for Murder,8.2,0.185M,1954,105,PG
. Gone with the Wind,8.2,0.329M,1939,238,Passed
. Prisoners,8.1,0.783M,2013,153,R
. V for Vendetta,8.2,1.2M,2005,132,R
. Raging Bull,8.1,0.373M,1980,129,R
". Lock, Stock and Two Smoking Barrels",8.1,0.607M,1998,107,R
. El secreto de sus ojos,8.2,0.219M,2009,129,R
. Inside Out,8.1,0.765M,2015,95,PG
. Spider-Man: No Way Home,8.2,0.847M,2021,148,PG-13
". Three Billboards Outside Ebbing, Missouri",8.1,0.542M,2017,115,R
. Trainspotting,8.1,0.715M,1996,93,R
. The Bridge on the River Kwai,8.1,0.23M,1957,161,PG
. Fargo,8.1,0.71M,1996,98,R
. Warrior,8.1,0.491M,2011,140,PG-13
. Catch Me If You Can,8.1,1.1M,2002,141,PG-13
. Gran Torino,8.1,0.804M,2008,116,R
. Klaus,8.2,0.176M,2019,96,PG
. Tonari no Totoro,8.1,0.367M,1988,86,G
. Million Dollar Baby,8.1,0.712M,2004,132,PG-13
. Harry Potter and the Deathly Hallows - Part 2,8.1,0.927M,2011,130,PG-13
. Bacheha-Ye aseman,8.2,0.079M,1997,89,PG
. Blade Runner,8.1,0.808M,1982,117,R
. 12 Years a Slave,8.1,0.73M,2013,134,R
. Before Sunrise,8.1,0.331M,1995,101,R
. The Grand Budapest Hotel,8.1,0.868M,2014,99,R
. Ben-Hur,8.1,0.25M,1959,212,G
. The Gold Rush,8.1,0.117M,1925,95,Passed
. Barry Lyndon,8.1,0.179M,1975,185,PG
. Gone Girl,8.1,1M,2014,149,R
. Hacksaw Ridge,8.1,0.576M,2016,139,R
. In the Name of the Father,8.1,0.184M,1993,133,R
. On the Waterfront,8.1,0.162M,1954,108,Approved
. Salinui chueok,8.1,0.207M,2003,131,Not Rated
. The General,8.1,0.096M,1926,78,Passed
. The Deer Hunter,8.1,0.356M,1978,183,R
. Relatos salvajes,8.1,0.212M,2014,122,R
. Smultronstället,8.1,0.113M,1957,91,Not Rated
. Dead Poets Society,8.1,0.529M,1989,128,PG
. The Third Man,8.1,0.179M,1949,104,Approved
. Le salaire de la peur,8.2,0.065M,1953,131,Not Rated
. Mad Max: Fury Road,8.1,1.1M,2015,120,R
. Sherlock Jr.,8.2,0.055M,1924,2700,Passed
". Monsters, Inc.",8.1,0.959M,2001,92,G
. Mr. Smith Goes to Washington,8.1,0.12M,1939,129,Passed
. Jaws,8.1,0.647M,1975,124,PG
. How to Train Your Dragon,8.1,0.783M,2010,98,PG
. Mary and Max.,8.1,0.184M,2009,92,Not Rated
. Ford v Ferrari,8.1,0.446M,2019,152,PG-13
. Det sjunde inseglet,8.1,0.195M,1957,96,Not Rated
. Room,8.1,0.442M,2015,118,R
. The Big Lebowski,8.1,0.846M,1998,117,R
. Ratatouille,8.1,0.799M,2007,111,G
. Tôkyô monogatari,8.1,0.067M,1953,136,Not Rated
. Rocky,8.1,0.616M,1976,120,PG
. Hotel Rwanda,8.1,0.368M,2004,121,PG-13
. Logan,8.1,0.812M,2017,137,R
. Spotlight,8.1,0.494M,2015,129,R
. Platoon,8.1,0.432M,1986,120,R
. La passion de Jeanne d'Arc,8.1,0.059M,1928,110,Passed
. The Terminator,8.1,0.908M,1984,107,R
. Jai Bhim,8.7,0.213M,2021,164,TV-MA
. Before Sunset,8.1,0.282M,2004,80,R
. Rush,8.1,0.504M,2013,123,R
. Network,8.1,0.167M,1976,121,R
. The Best Years of Our Lives,8.1,0.069M,1946,170,Approved
. The Exorcist,8.1,0.446M,1973,122,R
. Stand by Me,8.1,0.432M,1986,89,R
. La haine,8.1,0.19M,1995,98,Not Rated
. Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1.2M,2003,143,PG-13
